Exporting Your Strategy Backtest Results,open,high,low,close,Volume
9/2/2019,9766.62,10486.77,9756.54,10381.26,11794.07474
9/3/2019,10381.26,10790,10280,10628.48,15518.03507
9/4/2019,10628.48,10833.14,10380,10581.84,12180.83979
9/5/2019,10581.84,10666.43,10452.15,10574.73,7432.49315
9/6/2019,10574.28,10939.34,10182,10308.92,15732.61922
9/7/2019,10308.9,10580,10304.52,10484.37,4381.37519
9/8/2019,10484.37,10595,10231.13,10398.97,4915.58032
9/9/2019,10401.13,10541.75,10059.99,10310,9745.08707
9/10/2019,10310.01,10389.26,9916,10093.01,8098.58995
9/11/2019,10093,10297.12,9851.97,10160.2,8374.05434
9/12/2019,10158.81,10460,10040,10423.72,7625.26399
9/13/2019,10423.85,10452.5,10157,10365.93,6909.04914
9/14/2019,10365.94,10439,10223.36,10360.25,4470.33
9/15/2019,10360.01,10380,10263.39,10304.46,2745.27964
9/16/2019,10303.66,10379.98,10068.42,10262.54,7785.74159
9/17/2019,10262.54,10276.18,10135.44,10185.39,5716.19104
9/18/2019,10185.42,10258,10074.08,10155.26,5627.59566
9/19/2019,10156.22,10379.15,9585.86,10275.01,15625.03864
9/20/2019,10275.01,10309.84,10056.3,10168.85,6183.9324
9/21/2019,10168.85,10170.15,9917.34,9973.99,5043.09398
9/22/2019,9973.99,10097,9848.37,10026.8,5276.96678
9/23/2019,10026.79,10051.15,9609.37,9693.74,11355.90322
9/24/2019,9693.74,9777.16,8159.35,8530.01,38736.24053
9/25/2019,8530.01,8743.86,8222.01,8438.35,23524.447
9/26/2019,8438.35,8464.08,7712.45,8060,27664.80382
9/27/2019,8060,8290,7861.02,8193.99,15914.72654
9/28/2019,8193.99,8343,8015.25,8217.47,9039.56652
9/29/2019,8217.47,8246.87,7902.96,8052.4,7142.38364
9/30/2019,8054.09,8393.23,7701,8304.96,15142.63378
10/1/2019,8304.95,8535,8200,8321.52,12266.37228
10/2/2019,8321.87,8391,8168.85,8381.72,7040.89123
10/3/2019,8381.72,8419.95,8059.22,8240.41,7778.13278
10/4/2019,8241.27,8241.35,8002.21,8156.67,7715.29458
10/5/2019,8156.68,8200,8020.2,8147.63,3826.843
10/6/2019,8147.63,8176.18,7780.85,7859.79,8697.95405
10/7/2019,7859.79,8310.57,7762.35,8209,10012.02172
10/8/2019,8208.99,8342.97,8107.26,8180,5857.5545
10/9/2019,8180,8712.45,8121,8590,14459.79208
10/10/2019,8590.01,8660,8452.5,8587.5,7946.65572
10/11/2019,8587.49,8826,8226,8267.33,12446.85928
10/12/2019,8263.02,8425,8261.46,8309.03,3046.41896
10/13/2019,8309.03,8469.02,8146.47,8282.97,5858.05417
10/14/2019,8282.96,8409,8215.66,8355,4462.51877
10/15/2019,8355,8420,8085.65,8162.44,8558.58254
10/16/2019,8162.44,8171.59,7908.86,7993.54,8490.00977
10/17/2019,7995.81,8124.42,7937.01,8076.2,4909.28487
10/18/2019,8076.94,8117.77,7814.08,7954.16,7071.37822
10/19/2019,7954.15,8099.98,7873.46,7965.28,4839.5037
10/20/2019,7965.27,8309,7875.01,8236.12,6162.06248
10/21/2019,8235.94,8349.84,8156,8209.92,6137.14764
10/22/2019,8209.92,8317.14,7998.9,8024.72,6015.88191
10/23/2019,8024,8049,7296.44,7474.85,19159.9448
10/24/2019,7475.54,7509.99,7359.48,7430.87,7972.65537
10/25/2019,7430.87,8800.1,7389.91,8668,27140.22339
10/26/2019,8668,10540.49,8645.01,9259.78,53383.41642
10/27/2019,9259.98,9826.72,9102.33,9548.84,19636.44344
10/28/2019,9555.89,9939.69,9180.59,9226.5,16736.98706
10/29/2019,9225.06,9575,9068.19,9430.8,12640.21198
10/30/2019,9431.36,9431.36,8991.33,9164.44,9862.69137
10/31/2019,9164.45,9433,8950,9159.48,8326.97552
11/1/2019,9159.96,9299.99,9057.27,9253.12,7774.28595
11/2/2019,9253.09,9393,9210,9308.52,4559.28
11/3/2019,9308.52,9380,9068.3,9206.52,4294.51485
11/4/2019,9206.52,9600,9127,9412.53,8361.97344
11/5/2019,9412.63,9474.89,9169.84,9322.09,7581.23123
11/6/2019,9322.09,9450,9253.66,9341.27,6829.70067
11/7/2019,9341.27,9375.16,9075,9198.84,5989.37536
11/8/2019,9198.85,9246,8660,8763.01,12876.56987
11/9/2019,8763.01,8873.48,8712.52,8807.89,4175.02368
11/10/2019,8807.89,9150,8731.43,9032.23,6070.48229
11/11/2019,9032.23,9067.34,8590,8721.54,7049.94294
11/12/2019,8721.53,8870,8556.56,8810,6272.87696
11/13/2019,8811,8838.8,8705,8758.34,4486.29334
11/14/2019,8758.34,8784.61,8558.01,8630,5607.49346
11/15/2019,8630.01,8773.22,8361,8457.48,10940.92978
11/16/2019,8457.48,8531.03,8423,8481,2712.3541
11/17/2019,8481,8637.01,8371.02,8500.01,3754.25927
11/18/2019,8501,8501.01,8015,8168.84,9864.13897
11/19/2019,8168.84,8197.82,7980.07,8123.36,7361.0099
11/20/2019,8123.36,8222.41,8030.05,8082.96,5296.46981
11/21/2019,8082.97,8114.97,7374.5,7616.46,16947.03292
11/22/2019,7616.48,7720,6775.47,7283.03,33676.57846
